dim	coefficient
410	0.022012975
411	-0.0057654865
412	0.09456356
413	-0.0009718407
414	-0.039158747
415	-0.051917892
416	0.07171678
417	0.10720682
418	-0.023389433
419	0.03613621
420	-0.03853948
421	0.021801911
422	0.011997523
423	0.022284552
424	0.014787001
425	-0.047242325
426	0.03408767
427	0.004479533
428	0.10929319
429	0.08508572
430	0.0071538854
431	-0.027536634
432	0.023091037
433	0.015888408
434	-0.037604652
435	0.035850484
436	0.0061043613
437	-0.067161106
438	-0.0177492
439	-0.040310983
440	-0.010327901
441	-0.009924514
442	-0.016154502
443	0.00875023
444	0.024231609
445	-0.039409462
446	-0.010593671
447	0.065309875
448	0.064387284
449	-0.06947948
450	0.029255496
451	0.04450322
452	-0.13415626
453	-0.06615908
454	0.056019574
455	0.03444607
456	-0.048117466
457	-0.104928456
458	0.042083092
459	-0.050468545
460	0.03571654
461	-0.042196006
462	0.033895344
463	-0.06712309
464	-0.05079191
465	-0.01219501
466	0.01186755
467	0.044121742
468	0.034967385
469	0.04996721
470	-0.073532894
471	-0.0417386
472	0.0042707557
473	-0.009479446
474	0.025835034
475	0.105582565
476	0.061737187
477	0.04458066
478	0.03780879
479	0.0557076
480	0.12475108
481	-0.00781044
482	-0.06600878
483	-0.058970522
484	0.024600718
485	0.030157724
486	-0.044177715
487	0.03180698
488	-0.06174592
489	0.0575865
490	-0.059876956
491	0.0021377718
492	-0.00042348396
493	0.06310893
494	-0.030002296
495	-0.052964255
496	-0.08371106
497	0.012713091
498	0.02021432
499	0.0054438557
500	-0.0236944
501	0.039100394
502	-0.021182531
503	0.0009041298
504	0.03627472
505	0.060707517
506	0.09876441
507	0.02314085
508	-0.048051707
509	-0.029038407
510	-0.016205486
511	0.017461123
512	-0.047643453
513	0.03912489
514	-0.03228862
515	0.063586384
516	-0.00506905
517	0.0723921
518	-0.046362475
519	0.059944212
520	-0.045727823
521	0.022545286
522	-0.009621263
523	0.047223378
524	-0.04904041
525	0.03865665
526	-0.04556393
527	0.06315908
528	0.03154424
529	-0.018730205
530	-0.056194924
531	0.032081045
532	0.033956416
533	-0.04878568
534	0.017138971
535	-0.036536604
536	0.024213325
537	-0.020920064
538	0.047397126
539	-0.027763855
540	-0.116362005
541	0.018169368
542	-0.0808477
543	-0.006066646
544	-0.04333778
545	0.015625874
546	0.02502482
547	-0.085879475
548	-0.015967201
549	0.07150168
550	0.057544835
551	0.0026251965
552	0.04086399
553	0.03355492
554	-0.047550116
555	-0.057617154
556	-0.0012532421
557	-0.026625294
558	-0.018157315
559	-0.07985926
560	-0.015509611
561	-0.013657594
562	-0.024172347
563	0.027622547
564	0.01208127
565	0.011452254
566	-0.031063281
567	-0.04276506
568	0.07242978
569	-0.046514474
570	0.048215065
571	0.038956083
572	0.055821307
573	0.11631366
574	0.040432315
575	-0.022686638
576	0.0008570999
577	0.052226536
578	-0.029783936
579	-0.0034435298
580	0.0216191
581	-0.058895122
582	-0.01581994
583	0.09945304
584	-0.10712385
585	0.046547078
586	0.06650877
587	0.012979357
588	0.03463556
589	0.026148189
590	0.053865
591	-0.10598099
592	0.006300222
593	-0.09606904
594	-0.014402404
595	0.018498134
596	0.016493136
597	-0.16349928
598	0.0337238
599	-0.036878727
600	-0.00978517
601	0.0529554
602	-0.026848162
603	0.024847284
604	-0.015080928
605	0.0010999147
606	-0.06265897
607	0.019369345
608	0.059949473
609	-0.00055477396
610	0.0743784
611	0.0777531
612	0.028756712
613	-0.038654182
614	-0.014766051
615	-0.011826793
616	-0.024420723
617	0.0045568533
618	-0.049016483
619	0.020916415
620	0.0066664536
621	0.093489476
622	0.05066168
623	0.042233646
624	0.03257378
625	-0.069471024
626	-0.024144532
627	0.015756788
628	-0.06483157
629	-0.021241631
630	-0.0032043532
631	0.07903488
632	0.084518105
633	0.033862855
634	-0.027085193
635	-0.03149298
636	-0.042904556
